YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,PS,WS10M,ALLSKY_KT,PRECTOTCORR,SZA
2019,1,10,19,0.0,15.11,33.17,99.21,1.02,-999.0,0.0,90.0
2019,1,10,20,0.0,14.47,34.38,99.24,0.98,-999.0,0.0,90.0
2019,1,10,21,0.0,13.77,35.59,99.28,1.02,-999.0,0.0,90.0
2019,1,10,22,0.0,13.03,37.15,99.31,1.14,-999.0,0.0,90.0
2019,1,10,23,0.0,12.42,38.23,99.32,1.19,-999.0,0.0,90.0
2019,1,11,0,0.0,11.17,41.41,99.34,1.34,-999.0,0.0,90.0
2019,1,11,1,0.0,9.92,44.74,99.32,1.54,-999.0,0.0,90.0
2019,1,11,2,0.0,9.46,45.59,99.3,1.78,-999.0,0.0,90.0
2019,1,11,3,0.0,8.39,49.14,99.27,2.0,-999.0,0.0,90.0
2019,1,11,4,0.0,7.54,53.15,99.28,2.13,-999.0,0.0,90.0
2019,1,11,5,0.0,7.21,55.8,99.33,2.04,-999.0,0.0,90.0
2019,1,11,6,0.0,7.41,56.79,99.43,1.7,-999.0,0.0,90.0
2019,1,11,7,66.8,8.81,57.31,99.53,1.24,0.33,0.0,81.64
2019,1,11,8,211.38,11.45,48.18,99.62,1.07,0.46,0.0,71.1
2019,1,11,9,348.6,14.28,41.22,99.66,0.74,0.52,0.0,61.79
2019,1,11,10,464.9,18.7,27.56,99.64,0.65,0.57,0.0,54.76
2019,1,11,11,515.8,20.48,22.86,99.54,0.16,0.58,0.0,50.95
2019,1,11,12,501.02,21.31,21.01,99.43,0.51,0.57,0.0,51.1
2019,1,11,13,437.12,21.62,20.23,99.34,0.85,0.54,0.0,55.17
2019,1,11,14,334.15,21.27,20.34,99.28,0.97,0.51,0.0,62.4
2019,1,11,15,183.27,20.14,28.6,99.25,0.78,0.42,0.0,71.84
2019,1,11,16,51.25,18.61,29.09,99.25,0.69,0.28,0.0,82.61
2019,1,11,17,0.0,17.52,27.12,99.29,0.62,-999.0,0.0,90.0
2019,1,11,18,0.0,16.89,28.16,99.37,0.59,-999.0,0.0,90.0
2019,1,11,19,0.0,16.23,29.3,99.42,0.63,-999.0,0.0,90.0
2019,1,11,20,0.0,15.53,30.28,99.43,0.77,-999.0,0.0,90.0
2019,1,11,21,0.0,14.85,31.44,99.42,0.86,-999.0,0.0,90.0
2019,1,11,22,0.0,14.22,32.74,99.4,0.86,-999.0,0.0,90.0
2019,1,11,23,0.0,13.64,34.39,99.36,0.73,-999.0,0.0,90.0
2019,1,12,0,0.0,13.06,36.35,99.34,0.57,-999.0,0.0,90.0
2019,1,12,1,0.0,12.43,38.2,99.31,0.53,-999.0,0.0,90.0
2019,1,12,2,0.0,11.83,39.72,99.27,0.59,-999.0,0.0,90.0
2019,1,12,3,0.0,11.34,40.42,99.22,0.68,-999.0,0.0,90.0
2019,1,12,4,0.0,10.97,41.3,99.2,0.74,-999.0,0.0,90.0
2019,1,12,5,0.0,10.5,42.5,99.23,0.83,-999.0,0.0,90.0
2019,1,12,6,0.0,9.8,44.3,99.29,1.09,-999.0,0.0,90.0
2019,1,12,7,55.85,9.8,48.79,99.36,1.45,0.27,0.0,81.63
2019,1,12,8,173.25,12.29,41.49,99.42,2.08,0.38,0.0,71.06
2019,1,12,9,307.4,14.96,35.45,99.48,1.89,0.46,0.0,61.72
2019,1,12,10,407.9,18.99,27.96,99.47,2.12,0.5,0.0,54.65
2019,1,12,11,496.7,20.44,26.39,99.39,1.81,0.56,0.0,50.81
2019,1,12,12,443.08,21.08,25.67,99.3,1.46,0.5,0.0,50.93
2019,1,12,13,416.0,21.15,25.6,99.22,1.1,0.52,0.0,54.99
2019,1,12,14,310.88,20.73,26.51,99.16,0.9,0.47,0.0,62.22
2019,1,12,15,168.65,19.79,36.33,99.13,0.6,0.38,0.0,71.66
2019,1,12,16,48.45,18.65,33.4,99.14,0.62,0.26,0.0,82.42
2019,1,12,17,0.0,17.7,32.73,99.18,0.69,-999.0,0.0,90.0
2019,1,12,18,0.0,16.9,35.11,99.24,0.85,-999.0,0.0,90.0
2019,1,12,19,0.0,15.75,38.07,99.3,1.03,-999.0,0.0,90.0
2019,1,12,20,0.0,15.15,39.12,99.33,1.06,-999.0,0.0,90.0
2019,1,12,21,0.0,15.08,38.64,99.32,1.03,-999.0,0.0,90.0
2019,1,12,22,0.0,14.42,40.51,99.3,1.07,-999.0,0.0,90.0
2019,1,12,23,0.0,13.58,43.17,99.27,1.19,-999.0,0.0,90.0
2019,1,13,0,0.0,12.62,46.95,99.27,1.3,-999.0,0.0,90.0
2019,1,13,1,0.0,11.21,52.85,99.29,1.65,-999.0,0.0,90.0
2019,1,13,2,0.0,9.95,60.08,99.3,2.13,-999.0,0.0,90.0
2019,1,13,3,0.0,8.7,70.17,99.32,2.46,-999.0,0.0,90.0
2019,1,13,4,0.0,8.05,79.25,99.34,2.56,-999.0,0.0,90.0
2019,1,13,5,0.0,7.78,86.33,99.41,2.5,-999.0,0.0,90.0
2019,1,13,6,0.0,7.97,88.27,99.5,2.35,-999.0,0.0,90.0
2019,1,13,7,53.28,9.62,80.36,99.61,1.93,0.26,0.0,81.6
2019,1,13,8,165.2,12.39,67.57,99.7,2.22,0.36,0.0,71.01
2019,1,13,9,298.4,14.72,59.03,99.74,1.81,0.45,0.0,61.65
2019,1,13,10,368.85,19.05,41.58,99.71,2.51,0.45,0.0,54.54
2019,1,13,11,380.73,21.07,35.9,99.62,3.43,0.43,0.0,50.66
2019,1,13,12,391.45,21.78,35.06,99.51,3.93,0.44,0.0,50.75
2019,1,13,13,346.92,22.0,34.86,99.43,4.32,0.43,0.0,54.8
2019,1,13,14,245.7,21.66,35.52,99.38,4.45,0.37,0.0,62.04
2019,1,13,15,138.15,20.51,39.16,99.36,3.67,0.31,0.0,71.48
2019,1,13,16,41.3,16.74,52.51,99.38,2.78,0.22,0.0,82.23
2019,1,13,17,0.0,14.14,56.96,99.43,3.27,-999.0,0.0,90.0
2019,1,13,18,0.0,13.31,57.87,99.48,3.36,-999.0,0.0,90.0
2019,1,13,19,0.0,12.6,58.8,99.54,3.44,-999.0,0.0,90.0
2019,1,13,20,0.0,11.97,59.71,99.56,3.62,-999.0,0.0,90.0
2019,1,13,21,0.0,11.36,60.51,99.56,3.83,-999.0,0.0,90.0
2019,1,13,22,0.0,10.78,61.16,99.54,4.1,-999.0,0.0,90.0
2019,1,13,23,0.0,10.41,60.28,99.52,4.58,-999.0,0.0,90.0
2019,1,14,0,0.0,9.89,59.55,99.53,4.9,-999.0,0.0,90.0
2019,1,14,1,0.0,9.34,58.54,99.52,5.04,-999.0,0.0,90.0
2019,1,14,2,0.0,8.94,57.48,99.49,5.36,-999.0,0.0,90.0
2019,1,14,3,0.0,8.14,59.04,99.46,5.2,-999.0,0.0,90.0
2019,1,14,4,0.0,6.75,64.11,99.43,4.23,-999.0,0.0,90.0
2019,1,14,5,0.0,5.67,68.38,99.44,3.87,-999.0,0.0,90.0
2019,1,14,6,0.0,5.03,71.35,99.48,3.85,-999.0,0.0,90.0
2019,1,14,7,85.68,7.05,63.02,99.53,5.12,0.42,0.0,81.57
2019,1,14,8,257.8,9.79,53.93,99.57,4.54,0.56,0.0,70.96
2019,1,14,9,444.88,14.21,39.91,99.61,5.41,0.66,0.0,61.56
2019,1,14,10,587.33,17.88,25.42,99.6,7.97,0.72,0.0,54.42
2019,1,14,11,658.08,19.31,20.81,99.52,8.19,0.74,0.0,50.5
2019,1,14,12,660.22,20.31,18.2,99.4,8.22,0.74,0.0,50.57
2019,1,14,13,601.05,20.89,16.77,99.28,8.15,0.74,0.0,54.61
2019,1,14,14,470.75,20.75,16.9,99.2,7.69,0.71,0.0,61.85
